year,month,attacks
1998,May,3
1998,Jun,1
1998,Jul,1
1998,Aug,3
1998,Sep,3
1998,Oct,3
1998,Nov,4
1998,Dec,1
1999,Jan,0
1999,Feb,2
1999,Mar,3
1999,Apr,1
1999,May,0
1999,Jun,4
1999,Jul,4
1999,Aug,5
1999,Sep,6
1999,Oct,4
1999,Nov,3
1999,Dec,2
2000,Jan,0
2000,Feb,1
2000,Mar,4
2000,Apr,2
2000,May,0
2000,Jun,6
2000,Jul,13
2000,Aug,8
2000,Sep,7
2000,Oct,7
2000,Nov,3
2000,Dec,0
2001,Jan,1
2001,Feb,0
2001,Mar,2
2001,Apr,13
2001,May,4
2001,Jun,3
2001,Jul,9
2001,Aug,13
2001,Sep,13
2001,Oct,0
2001,Nov,1
2001,Dec,0
2002,Jan,1
2002,Feb,0
2002,Mar,5
2002,Apr,4
2002,May,5
2002,Jun,5
2002,Jul,5
2002,Aug,6
2002,Sep,9
2002,Oct,5
2002,Nov,4
2002,Dec,0
2003,Jan,0
2003,Feb,1
2003,Mar,1
2003,Apr,10
2003,May,5
2003,Jun,8
2003,Jul,5
2003,Aug,3
2003,Sep,9
2003,Oct,11
2003,Nov,2
2003,Dec,2
2004,Jan,0
2004,Feb,0
2004,Mar,6
2004,Apr,2
2004,May,6
2004,Jun,3
2004,Jul,6
2004,Aug,4
2004,Sep,3
2004,Oct,4
2004,Nov,1
2004,Dec,0
2005,Jan,0
2005,Feb,3
2005,Mar,1
2005,Apr,4
2005,May,5
2005,Jun,7
2005,Jul,6
2005,Aug,6
2005,Sep,5
2005,Oct,6
2005,Nov,6
2005,Dec,2
2006,Jan,2
2006,Feb,3
2006,Mar,1
2006,Apr,4
2006,May,7
2006,Jun,6
2006,Jul,14
2006,Aug,2
2006,Sep,6
2006,Oct,5
2006,Nov,1
2006,Dec,1
2007,Jan,3
2007,Feb,0
2007,Mar,4
2007,Apr,3
2007,May,5
2007,Jun,6
2007,Jul,9
2007,Aug,15
2007,Sep,13
2007,Oct,3
2007,Nov,2
2007,Dec,1
2008,Jan,1
2008,Feb,2
2008,Mar,7
2008,Apr,7
2008,May,2
2008,Jun,8
2008,Jul,11
2008,Aug,10
2008,Sep,9
2008,Oct,2
2008,Nov,0
2008,Dec,1
2009,Jan,0
2009,Feb,1
2009,Mar,2
2009,Apr,7
2009,May,4
2009,Jun,2
2009,Jul,6
2009,Aug,5
2009,Sep,2
2009,Oct,3
2009,Nov,7
2009,Dec,1
2010,Jan,1
2010,Feb,2
2010,Mar,0
2010,Apr,2
2010,May,2
2010,Jun,5
2010,Jul,10
2010,Aug,6
2010,Sep,6
2010,Oct,3
2010,Nov,1
2010,Dec,2
2011,Jan,0
2011,Feb,0
2011,Mar,0
2011,Apr,2
2011,May,6
2011,Jun,5
2011,Jul,5
2011,Aug,9
2011,Sep,8
2011,Oct,6
2011,Nov,1
2011,Dec,4
2012,Jan,2
2012,Feb,1
2012,Mar,5
2012,Apr,2
2012,May,6
2012,Jun,13
2012,Jul,6
2012,Aug,2
2012,Sep,12
2012,Oct,8
2012,Nov,4
2012,Dec,2
2013,Jan,1
2013,Feb,3
2013,Mar,0
2013,Apr,5
2013,May,4
2013,Jun,7
2013,Jul,5
2013,Aug,9
2013,Sep,12
2013,Oct,6
2013,Nov,4
2013,Dec,3
2014,Jan,0
2014,Feb,0
2014,Mar,3
2014,Apr,4
2014,May,5
2014,Jun,4
2014,Jul,9
2014,Aug,15
2014,Sep,5
2014,Oct,13
2014,Nov,3
2014,Dec,1
2015,Jan,4
2015,Feb,0
2015,Mar,1
2015,Apr,4
2015,May,6
2015,Jun,14
2015,Jul,7
2015,Aug,7
2015,Sep,12
2015,Oct,11
2015,Nov,6
2015,Dec,1
2016,Jan,4
2016,Feb,0
2016,Mar,5
2016,Apr,4
2016,May,8
2016,Jun,10
2016,Jul,10
2016,Aug,5
2016,Sep,9
2016,Oct,7
2016,Nov,1
2016,Dec,2
2017,Jan,3
2017,Feb,2
2017,Mar,2
2017,Apr,14
2017,May,3
2017,Jun,6
2017,Jul,12
2017,Aug,5
2017,Sep,9
2017,Oct,6
2017,Nov,3
2017,Dec,2
2018,Jan,2
2018,Feb,0
2018,Mar,2
2018,Apr,3
2018,May,5
2018,Jun,7
2018,Jul,19
2018,Aug,7
2018,Sep,6
2018,Oct,7
2018,Nov,0
2018,Dec,2
2019,Jan,3
2019,Feb,3
2019,Mar,6
2019,Apr,7
2019,May,6
2019,Jun,8
2019,Jul,17
2019,Aug,23
2019,Sep,14
2019,Oct,8
2019,Nov,6
2019,Dec,3
2020,Jan,1
2020,Feb,1
2020,Mar,3
2020,Apr,4
2020,May,1
2020,Jun,1
2020,Jul,2
2020,Aug,2
2020,Sep,1
2020,Oct,1
2020,Nov,2
2020,Dec,0
